№;alpha;rho;t;Ответ;Муравьи;;;№;alpha;rho;t;Ответ;Муравьи;
309;0.1;0.6;100.0;130;160;;;;;;;;;
310;0.1;0.6;110.0;130;160;;;;;;;;;
311;0.1;0.6;120.0;130;170;;;;;;;;;
312;0.1;0.6;130.0;130;170;;;;;;;;;
313;0.1;0.6;140.0;130;170;;;;;;;;;
314;0.1;0.6;150.0;130;170;;;;;;;;;
315;0.1;0.6;160.0;130;160;;;;;;;;;
316;0.1;0.6;170.0;130;170;;;;;;;;;
317;0.1;0.6;180.0;130;170;;;;;;;;;
318;0.1;0.6;190.0;130;160;;;;;;;;;
319;0.1;0.6;200.0;130;170;;;;;;;;;
320;0.1;0.7;10.0;130;160;;;;;;;;;
321;0.1;0.7;20.0;130;170;;;;;;;;;
322;0.1;0.7;30.0;130;170;;;;;;;;;
323;0.1;0.7;40.0;130;160;;;;;;;;;
324;0.1;0.7;50.0;130;160;;;;;;;;;
325;0.1;0.7;60.0;130;160;;;;;;;;;
326;0.1;0.7;70.0;130;170;;;;;;;;;
327;0.1;0.7;80.0;130;160;;;;;;;;;
328;0.1;0.7;90.0;130;170;;;;;;;;;
329;0.1;0.7;100.0;130;170;;;;;;;;;
330;0.1;0.7;110.0;130;160;;;;;;;;;
331;0.1;0.7;120.0;130;170;;;;;;;;;
332;0.1;0.7;130.0;130;170;;;;;;;;;
333;0.1;0.7;140.0;130;160;;;;;;;;;
334;0.1;0.7;150.0;130;160;;;;;;;;;
335;0.1;0.7;160.0;130;170;;;;;;;;;
336;0.1;0.7;170.0;130;170;;;;;;;;;
337;0.1;0.7;180.0;130;170;;;;;;;;;
338;0.1;0.7;190.0;130;160;;;;;;;;;
339;0.1;0.7;200.0;130;160;;;;;;;;;
340;0.1;0.8;10.0;130;160;;;;;;;;;
341;0.1;0.8;20.0;130;170;;;;;;;;;
342;0.1;0.8;30.0;130;160;;;;;;;;;
343;0.1;0.8;40.0;130;160;;;;;;;;;
344;0.1;0.8;50.0;130;160;;;;;;;;;
345;0.1;0.8;60.0;130;170;;;;;;;;;
346;0.1;0.8;70.0;130;170;;;;;;;;;
347;0.1;0.8;80.0;130;160;;;;;;;;;
348;0.1;0.8;90.0;130;170;;;;;;;;;
349;0.1;0.8;100.0;130;170;;;;;;;;;
350;0.1;0.8;110.0;130;170;;;;;;;;;
351;0.1;0.8;120.0;130;170;;;;;;;;;
352;0.1;0.8;130.0;130;170;;;;;;;;;
353;0.1;0.8;140.0;130;170;;;;;;;;;
354;0.1;0.8;150.0;130;170;;;;;;;;;
355;0.1;0.8;160.0;130;170;;;;;;;;;
356;0.1;0.8;170.0;130;160;;;;;;;;;
357;0.1;0.8;180.0;130;160;;;;;;;;;
358;0.1;0.8;190.0;130;160;;;;;;;;;
359;0.1;0.8;200.0;130;160;;;;;;;;;
360;0.1;0.9;10.0;130;170;;;;;;;;;
361;0.1;0.9;20.0;130;170;;;;;;;;;
362;0.1;0.9;30.0;130;160;;;;;;;;;
363;0.1;0.9;40.0;130;160;;;;;;;;;
364;0.1;0.9;50.0;130;160;;;;;;;;;
365;0.1;0.9;60.0;130;170;;;;;;;;;
366;0.1;0.9;70.0;130;160;;;;;;;;;
367;0.1;0.9;80.0;130;160;;;;;;;;;
368;0.1;0.9;90.0;130;170;;;;;;;;;
369;0.1;0.9;100.0;130;170;;;;;;;;;
370;0.1;0.9;110.0;130;170;;;;;;;;;
371;0.1;0.9;120.0;130;160;;;;;;;;;
372;0.1;0.9;130.0;130;170;;;;;;;;;
373;0.1;0.9;140.0;130;170;;;;;;;;;
374;0.1;0.9;150.0;130;160;;;;;;;;;
375;0.1;0.9;160.0;130;160;;;;;;;;;
376;0.1;0.9;170.0;130;170;;;;;;;;;
377;0.1;0.9;180.0;130;160;;;;;;;;;
378;0.1;0.9;190.0;130;160;;;;;;;;;
379;0.1;0.9;200.0;130;170;;;;;;;;;
380;0.1;1.0;10.0;130;170;;;;;;;;;
381;0.1;1.0;20.0;130;160;;;;;;;;;
382;0.1;1.0;30.0;130;170;;;;;;;;;
383;0.1;1.0;40.0;130;170;;;;;;;;;
384;0.1;1.0;50.0;130;170;;;;;;;;;
385;0.1;1.0;60.0;130;160;;;;;;;;;
386;0.1;1.0;70.0;130;160;;;;;;;;;
387;0.1;1.0;80.0;130;170;;;;;;;;;
388;0.1;1.0;90.0;130;170;;;;;;;;;
389;0.1;1.0;100.0;130;160;;;;;;;;;
390;0.1;1.0;110.0;130;170;;;;;;;;;
391;0.1;1.0;120.0;130;160;;;;;;;;;
392;0.1;1.0;130.0;130;160;;;;;;;;;
393;0.1;1.0;140.0;130;160;;;;;;;;;
394;0.1;1.0;150.0;130;170;;;;;;;;;
395;0.1;1.0;160.0;130;170;;;;;;;;;
396;0.1;1.0;170.0;130;170;;;;;;;;;
397;0.1;1.0;180.0;130;170;;;;;;;;;
398;0.1;1.0;190.0;130;160;;;;;;;;;
399;0.1;1.0;200.0;130;160;;;;;;;;;
400;0.2;0.1;10.0;130;160;;;;;;;;;
401;0.2;0.1;20.0;130;170;;;;;;;;;
402;0.2;0.1;30.0;130;160;;;;;;;;;
403;0.2;0.1;40.0;130;160;;;;;;;;;
404;0.2;0.1;50.0;130;160;;;;;;;;;
405;0.2;0.1;60.0;130;170;;;;;;;;;
406;0.2;0.1;70.0;130;160;;;;;;;;;
407;0.2;0.1;80.0;130;160;;;;;;;;;
408;0.2;0.1;90.0;130;170;;;;;;;;;
409;0.2;0.1;100.0;130;160;;;;;;;;;
410;0.2;0.1;110.0;130;160;;;;;;;;;
411;0.2;0.1;120.0;130;160;;;;;;;;;
412;0.2;0.1;130.0;130;160;;;;;;;;;
413;0.2;0.1;140.0;130;160;;;;;;;;;
414;0.2;0.1;150.0;130;160;;;;;;;;;
415;0.2;0.1;160.0;130;170;;;;;;;;;
416;0.2;0.1;170.0;130;160;;;;;;;;;
417;0.2;0.1;180.0;130;160;;;;;;;;;
418;0.2;0.1;190.0;130;160;;;;;;;;;
419;0.2;0.1;200.0;130;170;;;;;;;;;
420;0.2;0.2;10.0;130;160;;;;;;;;;
421;0.2;0.2;20.0;130;160;;;;;;;;;
422;0.2;0.2;30.0;130;160;;;;;;;;;
423;0.2;0.2;40.0;130;160;;;;;;;;;
424;0.2;0.2;50.0;130;160;;;;;;;;;
425;0.2;0.2;60.0;130;160;;;;;;;;;
426;0.2;0.2;70.0;130;160;;;;;;;;;
427;0.2;0.2;80.0;130;160;;;;;;;;;
428;0.2;0.2;90.0;130;160;;;;;;;;;
429;0.2;0.2;100.0;130;160;;;;;;;;;
430;0.2;0.2;110.0;130;160;;;;;;;;;
431;0.2;0.2;120.0;130;160;;;;;;;;;
432;0.2;0.2;130.0;130;160;;;;;;;;;
433;0.2;0.2;140.0;130;160;;;;;;;;;
434;0.2;0.2;150.0;130;160;;;;;;;;;
435;0.2;0.2;160.0;130;160;;;;;;;;;
436;0.2;0.2;170.0;130;160;;;;;;;;;
437;0.2;0.2;180.0;130;160;;;;;;;;;
438;0.2;0.2;190.0;130;170;;;;;;;;;
439;0.2;0.2;200.0;130;160;;;;;;;;;
440;0.2;0.3;10.0;130;160;;;;;;;;;
441;0.2;0.3;20.0;130;160;;;;;;;;;
442;0.2;0.3;30.0;130;160;;;;;;;;;
443;0.2;0.3;40.0;130;160;;;;;;;;;
444;0.2;0.3;50.0;130;160;;;;;;;;;
445;0.2;0.3;60.0;130;160;;;;;;;;;
446;0.2;0.3;70.0;130;160;;;;;;;;;
447;0.2;0.3;80.0;130;160;;;;;;;;;
448;0.2;0.3;90.0;130;160;;;;;;;;;
449;0.2;0.3;100.0;130;160;;;;;;;;;
450;0.2;0.3;110.0;130;160;;;;;;;;;
451;0.2;0.3;120.0;130;160;;;;;;;;;
452;0.2;0.3;130.0;130;170;;;;;;;;;
453;0.2;0.3;140.0;130;160;;;;;;;;;
454;0.2;0.3;150.0;130;160;;;;;;;;;
455;0.2;0.3;160.0;130;160;;;;;;;;;
456;0.2;0.3;170.0;130;160;;;;;;;;;
457;0.2;0.3;180.0;130;160;;;;;;;;;
458;0.2;0.3;190.0;130;170;;;;;;;;;
459;0.2;0.3;200.0;130;160;;;;;;;;;
460;0.2;0.4;10.0;130;160;;;;;;;;;
461;0.2;0.4;20.0;130;170;;;;;;;;;
462;0.2;0.4;30.0;130;170;;;;;;;;;
463;0.2;0.4;40.0;130;170;;;;;;;;;
464;0.2;0.4;50.0;130;170;;;;;;;;;
465;0.2;0.4;60.0;130;160;;;;;;;;;
466;0.2;0.4;70.0;130;170;;;;;;;;;
467;0.2;0.4;80.0;130;170;;;;;;;;;
468;0.2;0.4;90.0;130;160;;;;;;;;;
469;0.2;0.4;100.0;130;160;;;;;;;;;
470;0.2;0.4;110.0;130;160;;;;;;;;;
471;0.2;0.4;120.0;130;170;;;;;;;;;
472;0.2;0.4;130.0;130;170;;;;;;;;;
473;0.2;0.4;140.0;130;170;;;;;;;;;
474;0.2;0.4;150.0;130;170;;;;;;;;;
475;0.2;0.4;160.0;130;170;;;;;;;;;
476;0.2;0.4;170.0;130;170;;;;;;;;;
477;0.2;0.4;180.0;130;160;;;;;;;;;
478;0.2;0.4;190.0;130;160;;;;;;;;;
479;0.2;0.4;200.0;130;160;;;;;;;;;
480;0.2;0.5;10.0;130;160;;;;;;;;;
481;0.2;0.5;20.0;130;160;;;;;;;;;
482;0.2;0.5;30.0;130;170;;;;;;;;;
483;0.2;0.5;40.0;130;170;;;;;;;;;
484;0.2;0.5;50.0;130;170;;;;;;;;;
485;0.2;0.5;60.0;130;160;;;;;;;;;
486;0.2;0.5;70.0;130;160;;;;;;;;;
487;0.2;0.5;80.0;130;160;;;;;;;;;
488;0.2;0.5;90.0;130;160;;;;;;;;;
489;0.2;0.5;100.0;130;160;;;;;;;;;
490;0.2;0.5;110.0;130;170;;;;;;;;;
491;0.2;0.5;120.0;130;160;;;;;;;;;
492;0.2;0.5;130.0;130;160;;;;;;;;;
493;0.2;0.5;140.0;130;160;;;;;;;;;
494;0.2;0.5;150.0;130;160;;;;;;;;;
495;0.2;0.5;160.0;130;170;;;;;;;;;
496;0.2;0.5;170.0;130;170;;;;;;;;;
497;0.2;0.5;180.0;130;170;;;;;;;;;
498;0.2;0.5;190.0;130;160;;;;;;;;;
