       № operation         Belt       Number str          State           Time
            520              3             86              F             18:0:24.592
            521              2             87              F             18:0:24.592
            522              3             87              S             18:0:24.592
            523              1             88              F             18:0:24.592
            524              1             89              S             18:0:24.592
            525              2             88              S             18:0:24.592
            526              3             87              F             18:0:24.633
            527              2             88              F             18:0:24.633
            528              3             88              S             18:0:24.633
            529              1             89              F             18:0:24.633
            530              1             90              S             18:0:24.633
            531              2             89              S             18:0:24.633
            532              3             88              F             18:0:24.674
            533              2             89              F             18:0:24.674
            534              3             89              S             18:0:24.674
            535              1             90              F             18:0:24.674
            536              1             91              S             18:0:24.674
            537              2             90              S             18:0:24.674
            538              3             89              F             18:0:24.715
            539              2             90              F             18:0:24.715
            540              3             90              S             18:0:24.715
            541              1             91              F             18:0:24.715
            542              1             92              S             18:0:24.715
            543              2             91              S             18:0:24.715
            544              3             90              F             18:0:24.756
            545              2             91              F             18:0:24.756
            546              3             91              S             18:0:24.756
            547              1             92              F             18:0:24.756
            548              1             93              S             18:0:24.756
            549              2             92              S             18:0:24.756
            550              3             91              F             18:0:24.797
            551              2             92              F             18:0:24.797
            552              3             92              S             18:0:24.797
            553              1             93              F             18:0:24.797
            554              1             94              S             18:0:24.797
            555              2             93              S             18:0:24.797
            556              3             92              F             18:0:24.838
            557              2             93              F             18:0:24.838
            558              3             93              S             18:0:24.838
            559              1             94              F             18:0:24.838
            560              1             95              S             18:0:24.838
            561              2             94              S             18:0:24.838
            562              3             93              F             18:0:24.879
            563              2             94              F             18:0:24.879
            564              3             94              S             18:0:24.879
            565              1             95              F             18:0:24.879
            566              1             96              S             18:0:24.879
            567              2             95              S             18:0:24.879
            568              3             94              F             18:0:24.920
            569              2             95              F             18:0:24.920
            570              3             95              S             18:0:24.920
            571              1             96              F             18:0:24.920
            572              1             97              S             18:0:24.920
            573              2             96              S             18:0:24.920
            574              3             95              F             18:0:24.961
            575              2             96              F             18:0:24.961
            576              3             96              S             18:0:24.961
            577              1             97              F             18:0:24.961
            578              1             98              S             18:0:24.961
            579              2             97              S             18:0:24.961
            580              3             96              F             18:0:25.2
            581              2             97              F             18:0:25.2
            582              3             97              S             18:0:25.2
            583              1             98              F             18:0:25.2
            584              1             99              S             18:0:25.2
            585              2             98              S             18:0:25.2
            586              3             97              F             18:0:25.43
            587              2             98              F             18:0:25.43
            588              3             98              S             18:0:25.43
            589              1             99              F             18:0:25.43
            590              1            100              S             18:0:25.43
            591              2             99              S             18:0:25.43
            592              3             98              F             18:0:25.84
            593              2             99              F             18:0:25.84
            594              3             99              S             18:0:25.84
            595              1            100              F             18:0:25.84
            596              2            100              S             18:0:25.84
            597              3             99              F             18:0:25.125
            598              2            100              F             18:0:25.126
            599              3            100              S             18:0:25.126
            600              3            100              F             18:0:25.167
